FilmID,Title,ReleaseDate,DirectorID,GenreID,RunTimeMinutes,OscarWins
1,Jurassic Park,11/06/1993,4,8,126,3
2,Spider-Man,03/05/2002,11,4,121,0
3,King Kong,14/12/2005,12,8,187,3
5,Superman Returns,14/07/2006,14,4,154,0
6,Titanic,23/01/1998,15,6,194,11
7,Evan Almighty,22/06/2007,16,7,96,0
8,Waterworld,28/07/1995,17,8,135,0
9,Pearl Harbor,21/05/2001,18,5,183,1
10,Transformers,03/07/2007,18,3,144,0
11,Harry Potter and the Order of the Phoenix,11/07/2007,19,12,138,0
12,Beowulf,16/11/2007,20,12,115,0
13,Bee Movie,02/11/2007,21,11,91,0
14,Pirates of the Caribbean: At World's End,25/05/2007,22,8,168,0
15,I Am Legend,14/12/2007,23,10,100,0
16,Ratatouille,22/06/2007,24,11,111,1
17,Troy,14/05/2004,25,8,162,0
18,Harry Potter and the Goblet of Fire,06/11/2005,26,12,156,0
19,Batman Begins,15/06/2005,27,4,141,0
20,Charlie and the Chocolate Factory,15/07/2005,28,12,115,0
21,Pirates of the Caribbean: Dead Man's Chest,06/07/2006,22,8,151,1
22,Die Another Day,20/11/2002,29,9,133,0
23,Lethal Weapon 4,10/07/1998,30,4,127,0
24,Armageddon,01/07/1998,18,3,151,0
25,Men in Black II,03/07/2002,31,3,89,0
26,Spider-Man 3,04/05/2007,11,4,139,0
27,Spider-Man 2,30/06/2004,11,4,127,1
28,Stealth,05/08/2005,32,4,121,0
29,Final Fantasy: The Spirits Within,03/08/2001,33,11,106,0
30,Miami Vice,28/07/2006,34,9,134,0
31,The World Is Not Enough,26/11/1999,35,9,128,0
32,Master and Commander: The Far Side of the World,14/11/2003,36,8,138,2
33,War of the Worlds,29/06/2005,4,3,116,0
34,The Bourne Ultimatum,17/08/2007,37,9,115,3
35,Harry Potter and the Prisoner of Azkaban,31/05/2004,38,12,141,0
36,The Matrix Reloaded,15/05/2003,39,3,138,0
37,The Da Vinci Code,19/05/2006,40,18,146,0
38,Harry Potter and the Philosopher's Stone,16/11/2001,41,12,152,0
39,The Day After Tomorrow,26/05/2004,42,9,124,0
40,Pirates of the Caribbean: Curse of the Black Pearl,09/07/2003,22,8,135,0
41,The Last Samurai,05/12/2003,43,8,154,0
42,The Perfect Storm,30/06/2000,25,8,130,0
43,Mission: Impossible III,04/05/2006,44,9,125,0
44,Mission: Impossible II,24/05/2000,45,9,123,0
45,Windtalkers,30/08/2002,45,5,134,0
46,Star Wars: Episode II - Attack of the Clones,16/05/2002,7,3,142,0
47,"Monsters, Inc.",08/02/2002,46,11,92,1
48,Star Wars: Episode I - The Phantom Menace,19/05/1999,7,3,133,0
49,Star Wars: Episode III - Revenge of the Sith,19/05/2005,7,3,140,0
50,The Matrix Revolutions,05/11/2003,39,3,129,0
51,Tomorrow Never Dies,12/12/1997,47,9,119,0
52,Ocean's Eleven,15/02/2002,48,14,117,0
53,Live Free or Die Hard,27/06/2007,49,4,130,0
54,Around the World in 80 Days,16/06/2004,50,8,120,0
55,Kingdom of Heaven,06/05/2005,51,8,144,0
56,Mr. & Mrs. Smith,10/06/2005,52,4,120,0
57,The Aviator,25/12/2004,9,19,170,5
58,Ali,25/12/2001,34,19,157,0
59,The Lord of the Rings: Fellowship of the Ring,19/12/2001,12,12,178,4
60,"I, Robot",15/07/2004,53,3,115,0
61,Casino Royale,14/11/2006,54,9,144,0
62,Minority Report,04/07/2002,4,3,145,0
63,Terminator 2: Judgement Day,16/08/1991,15,3,136,6
64,Catwoman,13/08/2004,55,4,104,0
65,Harry Potter and the Chamber of Secrets,15/11/2002,41,12,155,0
66,American Gangster,16/11/2007,51,19,158,0
67,Blood Diamond,08/12/2006,43,8,143,0
68,Gladiator,05/05/2000,51,8,155,5
69,True Lies,15/07/1994,15,9,141,0
70,Gangs of New York,20/12/2002,9,2,160,0
71,Black Hawk Down,18/01/2002,51,5,144,2
72,The Fifth Element,07/05/1997,56,3,127,0
73,The Lord of the Rings: Return of the King,17/12/2003,12,12,201,11
74,The Lord of the Rings: The Two Towers,18/12/2002,12,12,179,2
75,Rush Hour 3,10/08/2007,57,17,91,0
76,Rush Hour 2,03/08/2001,57,17,90,0
77,Men in Black,02/07/1997,31,3,98,1
78,The Departed,06/10/2006,9,9,151,4
79,Die Hard: With A Vengeance,18/08/1995,58,4,131,0
80,Cinderella Man,09/09/2005,40,2,144,0
81,The Bourne Supremacy,23/07/2004,37,9,108,0
82,Last Action Hero,30/07/1993,58,4,130,0
83,Cast Away,12/01/2001,20,2,143,0
84,Ocean's Twelve,04/02/2005,48,14,125,0
85,Click,29/09/2006,50,7,107,0
86,Bruce Almighty,23/05/2003,16,7,101,0
87,Mission: Impossible,22/05/1996,59,9,110,0
88,Deep Impact,08/05/1998,60,3,121,0
89,Road to Perdition,12/07/2002,61,14,117,1
90,A Beautiful Mind,21/12/2001,40,2,135,4
91,Children of Men,22/09/2006,38,3,109,0
92,Munich,23/12/2005,4,2,163,0
93,Independence Day,02/07/1996,42,3,145,1
94,X-Men,18/08/2000,14,4,104,0
95,X2,02/05/2003,14,4,134,0
96,The Rock,07/06/1996,18,9,136,0
97,Constantine,18/02/2005,23,9,121,0
98,Unbreakable,29/12/2000,62,2,106,0
99,Talladega Nights: The Ballad of Ricky Bobby,15/09/2006,63,7,108,0
100,The Simpsons Movie,25/07/2007,64,11,87,0
101,Braveheart,24/05/1995,65,13,177,5
102,Jarhead,13/01/2006,61,5,125,0
103,The Village,20/08/2004,62,9,108,0
104,Shrek the Third,18/05/2007,66,11,93,0
105,Shrek 2,19/05/2004,67,11,93,0
